Source,Target
71762380,9313562
71762380,31318889
71762380,382489438
71762380,14255979
71762380,65732431
71762380,11754732
71762380,8367932
71762380,"1,14078356083342E+018"
71762380,20260892
71762380,105041886
71762380,147302897
71762380,14276303
71762380,321266768
71762380,"9,24002014643843E+017"
71762380,1863372584
71762380,20532806
71762380,606284826
71762380,16048357
71762380,2399847534
71762380,20718994
71762380,3900133109
71762380,28767460
71762380,"7,01089501024682E+017"
71762380,"9,00771635707425E+017"
71762380,"1,04241124531868E+018"
71762380,"9,56623919024353E+017"
71762380,1606002860
71762380,540249300
71762380,"1,06829586178712E+018"
71762380,462821479
71762380,89498844
71762380,22678898
71762380,"8,90184602811281E+017"
71762380,78620039
71762380,23791544
71762380,17877351
71762380,27994823
71762380,2468437069
71762380,2694452875
71762380,20686733
71762380,2905575894
71762380,3364396215
71762380,602643038
71762380,47675228
71762380,3379244896
71762380,39667025
71762380,"1,1114978340318E+018"
71762380,"7,63102211639538E+017"
71762380,"8,53151395351937E+017"
71762380,1578141
71762380,302666251
71762380,8926712
71762380,185636683
71762380,"8,8179460932787E+017"
71762380,91430081
71762380,"1,10091763533459E+018"
71762380,27875662
71762380,3224063099
71762380,11176042
71762380,14130366
71762380,80881027
71762380,3278959416
71762380,8692942
71762380,779627
71762380,583450546
71762380,556162290
71762380,256058386
71762380,"1,05284451881337E+018"
71762380,1068831
71762380,2851944063
71762380,1973559199
71762380,3382999846
71762380,18112018
71762380,17518190
71762380,20536157
71762380,"1,00875024543671E+018"
71762380,370331549
71762380,1636590253
71762380,"8,98455211769033E+017"
71762380,5574792
71762380,20430048
71762380,34670660
71762380,14768955
71762380,3565601
71762380,14117880
71762380,752133
71762380,14695816
71762380,615486974
71762380,9151782
71762380,69496707
71762380,148540304
71762380,9696462
71762380,16211142
71762380,19198198
71762380,19599604
71762380,33838201
71762380,14602130
71762380,4816
71762380,77908845
71762380,23554268
71762380,94133565
71762380,18137304
71762380,22545571
71762380,"9,32898811625837E+017"
71762380,150621067
71762380,441158276
71762380,"8,62957554363646E+017"
71762380,"1,09895870458464E+018"
71762380,17462723
71762380,14904260
71762380,"1,00151918717549E+018"
71762380,"8,21309471557296E+017"
71762380,109914762
71762380,16173592
71762380,5812732
71762380,1286116932
71762380,345673106
71762380,1115374579
71762380,19893048
71762380,"1,00410111684033E+018"
71762380,203558650
71762380,16143105
71762380,38730763
71762380,200094129
